2025/04/08 14:57:52 Engine initialized
2025/04/08 14:57:52 Starting asset for KRW-BTC
2025/04/08 14:57:52 Asset Pairs(KRW-BTC, BTCUSDT, KRW-USDT) initialized
2025/04/08 14:57:52 Engine started
2025/04/08 14:57:52 Starting stream for KRW-BTC
2025/04/08 14:57:52 Starting stream for BTCUSDT
2025/04/08 14:57:52 Starting stream for KRW-USDT
2025/04/08 14:57:59 Engine stopping...
2025/04/08 14:57:59 Engine stopped
2025/04/08 15:04:42 Engine initialized
2025/04/08 15:04:42 Starting asset for KRW-BTC
2025/04/08 15:04:42 Asset Pairs(KRW-BTC, BTCUSDT, KRW-USDT) initialized
2025/04/08 15:04:42 Engine started
2025/04/08 15:04:42 Starting stream for KRW-BTC
2025/04/08 15:04:42 Starting stream for BTCUSDT
2025/04/08 15:04:42 Starting stream for KRW-USDT
2025/04/08 15:04:42 Starting strategy
2025/04/08 15:04:43 Premium: 0.9997511433018899, KimchiPrice: 1.18601e+08, AnchorPrice: 1490, CefiPrice: 79617.8
2025/04/08 15:04:44 Premium: 1.0003003193794224, KimchiPrice: 1.18666e+08, AnchorPrice: 1490, CefiPrice: 79617.7
2025/04/08 15:04:45 Premium: 0.9997963501131859, KimchiPrice: 1.18601e+08, AnchorPrice: 1490, CefiPrice: 79614.2
2025/04/08 15:04:46 Premium: 1.0002023313920168, KimchiPrice: 1.18666e+08, AnchorPrice: 1490, CefiPrice: 79625.5
2025/04/08 15:04:47 Premium: 1.0002613731368566, KimchiPrice: 1.18666e+08, AnchorPrice: 1490, CefiPrice: 79620.8
2025/04/08 15:04:48 Premium: 1.0002714234897643, KimchiPrice: 1.18666e+08, AnchorPrice: 1490, CefiPrice: 79620
2025/04/08 15:04:49 Premium: 1.0003329863085648, KimchiPrice: 1.18666e+08, AnchorPrice: 1490, CefiPrice: 79615.1
2025/04/08 15:04:50 Premium: 0.9997766182073702, KimchiPrice: 1.186e+08, AnchorPrice: 1490, CefiPrice: 79615.1
2025/04/08 15:04:51 Premium: 0.9997766182073702, KimchiPrice: 1.186e+08, AnchorPrice: 1490, CefiPrice: 79615.1
2025/04/08 15:04:52 Premium: 1.0003434036058592, KimchiPrice: 1.18665e+08, AnchorPrice: 1490, CefiPrice: 79613.6
2025/04/08 15:04:53 Premium: 1.0002378688969813, KimchiPrice: 1.18665e+08, AnchorPrice: 1490, CefiPrice: 79622
2025/04/08 15:04:54 Premium: 1.0001939026733324, KimchiPrice: 1.18665e+08, AnchorPrice: 1490, CefiPrice: 79625.5
2025/04/08 15:04:55 Premium: 1.0001951587975124, KimchiPrice: 1.18665e+08, AnchorPrice: 1490, CefiPrice: 79625.4
2025/04/08 15:04:56 Premium: 1.0001926465523077, KimchiPrice: 1.18665e+08, AnchorPrice: 1490, CefiPrice: 79625.6
2025/04/08 15:04:57 Premium: 1.0001537083653937, KimchiPrice: 1.18665e+08, AnchorPrice: 1490, CefiPrice: 79628.7
2025/04/08 15:04:58 Premium: 1.000787169294336, KimchiPrice: 1.18663e+08, AnchorPrice: 1489, CefiPrice: 79630.4
2025/04/08 15:04:59 Premium: 1.000787169294336, KimchiPrice: 1.18663e+08, AnchorPrice: 1489, CefiPrice: 79630.4
2025/04/08 15:05:00 Premium: 1.0003066170989883, KimchiPrice: 1.18609e+08, AnchorPrice: 1489, CefiPrice: 79632.4
2025/04/08 15:05:01 Premium: 1.000760777393347, KimchiPrice: 1.18663e+08, AnchorPrice: 1489, CefiPrice: 79632.5
2025/04/08 15:05:02 Premium: 1.000178301338973, KimchiPrice: 1.18663e+08, AnchorPrice: 1490, CefiPrice: 79625.4
2025/04/08 15:05:03 Premium: 1.0001431316472837, KimchiPrice: 1.18663e+08, AnchorPrice: 1490, CefiPrice: 79628.2
2025/04/08 15:05:04 Premium: 1.000141875632611, KimchiPrice: 1.18663e+08, AnchorPrice: 1490, CefiPrice: 79628.3
2025/04/08 15:05:05 Premium: 1.0003581221183107, KimchiPrice: 1.18609e+08, AnchorPrice: 1489, CefiPrice: 79628.3
2025/04/08 15:05:06 Premium: 1.0008304307528884, KimchiPrice: 1.18665e+08, AnchorPrice: 1489, CefiPrice: 79628.3
2025/04/08 15:05:07 Premium: 1.0007902122793142, KimchiPrice: 1.18665e+08, AnchorPrice: 1489, CefiPrice: 79631.5
2025/04/08 15:05:08 Premium: 0.9999829185911938, KimchiPrice: 1.18665e+08, AnchorPrice: 1490, CefiPrice: 79642.3
2025/04/08 15:05:09 Premium: 1.0007575371495403, KimchiPrice: 1.18665e+08, AnchorPrice: 1489, CefiPrice: 79634.1
2025/04/08 15:05:10 Premium: 1.0004017337052293, KimchiPrice: 1.1861e+08, AnchorPrice: 1489, CefiPrice: 79625.5
